ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , ,O,P,I,S, ,G,R,Y, , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , ,ż
ż, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,P,R,E,S,S, ,A,N,Y, ,K,E,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ż
ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż,ż
